0,1,2,3,4,5,6,7,8
List of vice presidents of the United States,1,"April 21, 1789–March 4, 1797",,John Adams,,Pro-Administration,1788–89,George Washington
List of vice presidents of the United States,1,"April 21, 1789–March 4, 1797",,John Adams,,Federalist,1792,George Washington
List of vice presidents of the United States,2,"March 4, 1797–March 4, 1801",,Thomas Jefferson,,Democratic-Republican,1796,John Adams
List of vice presidents of the United States,3,"March 4, 1801–March 4, 1805",,Aaron Burr,,Democratic-Republican,1800,Thomas Jefferson
List of vice presidents of the United States,4,"March 4, 1805–April 20, 1812",,George Clinton,,Democratic-Republican,1804,Thomas Jefferson
List of vice presidents of the United States,4,"March 4, 1805–April 20, 1812",,George Clinton,,Democratic-Republican,1808,James Madison
List of vice presidents of the United States,5,"March 4, 1813–November 23, 1814",,Elbridge Gerry,,Democratic-Republican,1812,James Madison
List of vice presidents of the United States,6,"March 4, 1817–March 4, 1825",,Daniel D. Tompkins,,Democratic-Republican,1816,James Monroe
List of vice presidents of the United States,6,"March 4, 1817–March 4, 1825",,Daniel D. Tompkins,,Democratic-Republican,1820,James Monroe
List of vice presidents of the United States,7,"March 4, 1825–December 28, 1832",,John C. Calhoun,,Nullifier,1828,Andrew Jackson
List of vice presidents of the United States,8,"March 4, 1833–March 4, 1837",,Martin Van Buren,,Democratic,1832,Andrew Jackson
List of vice presidents of the United States,9,"March 4, 1837–March 4, 1841",,Richard Mentor Johnson,,Democratic,1836,Martin Van Buren
List of vice presidents of the United States,10,"March 4, 1841–April 4, 1841",,John Tyler,,Whig,1840,William H. Harrison
List of vice presidents of the United States,12,"March 4, 1849–July 9, 1850",,Millard Fillmore,,Whig,1848,Zachary Taylor
List of vice presidents of the United States,14,"March 4, 1857–March 4, 1861",,John C. Breckinridge,,Democratic,1856,James Buchanan
List of vice presidents of the United States,16,"March 4, 1865–April 15, 1865",,Andrew Johnson,,National Union,1864,Abraham Lincoln
List of vice presidents of the United States,17,"March 4, 1869–March 4, 1873",,Schuyler Colfax,,Republican,1868,Ulysses S. Grant
List of vice presidents of the United States,18,"March 4, 1873–November 22, 1875",,Henry Wilson,,Republican,1872,Ulysses S. Grant
List of vice presidents of the United States,19,"March 4, 1877–March 4, 1881",,William A. Wheeler,,Republican,1876,Rutherford B. Hayes
List of vice presidents of the United States,20,"March 4, 1881–September 19, 1881",,Chester A. Arthur,,Republican,1880,James A. Garfield
List of vice presidents of the United States,21,"March 4, 1885–November 25, 1885",,Thomas A. Hendricks,,Democratic,1884,Grover Cleveland
List of vice presidents of the United States,22,"March 4, 1889–March 4, 1893",,Levi P. Morton,,Republican,1888,Benjamin Harrison
List of vice presidents of the United States,23,"March 4, 1893–March 4, 1897",,Adlai Stevenson I,,Democratic,1892,Grover Cleveland
List of vice presidents of the United States,25,"March 4, 1901–September 14, 1901",,Theodore Roosevelt,,Republican,1900,William McKinley
List of vice presidents of the United States,26,Theodore Roosevelt,"March 4, 1905–March 4, 1909",,Charles W. Fairbanks,,Republican,1904
List of vice presidents of the United States,27,"March 4, 1909–October 30, 1912",,James S. Sherman,,Republican,1908,William H. Taft
List of vice presidents of the United States,28,"March 4, 1913–March 4, 1921",,Thomas R. Marshall,,Democratic,1912,Woodrow Wilson
List of vice presidents of the United States,28,"March 4, 1913–March 4, 1921",,Thomas R. Marshall,,Democratic,1916,Woodrow Wilson
List of vice presidents of the United States,29,"March 4, 1921–August 2, 1923",,Calvin Coolidge,,Republican,1920,Warren G. Harding
List of vice presidents of the United States,30,Calvin Coolidge,"March 4, 1925–March 4, 1929",,Charles G. Dawes,,Republican,1924
List of vice presidents of the United States,35,Harry S. Truman,"January 20, 1949–January 20, 1953",,Alben W. Barkley,,Democratic,1948
List of vice presidents of the United States,37,"January 20, 1961–November 22, 1963",,Lyndon B. Johnson,,Democratic,1960,John F. Kennedy
List of vice presidents of the United States,38,Lyndon B. Johnson,"January 20, 1965–January 20, 1969",,Hubert Humphrey,,Democratic,1964
List of vice presidents of the United States,40,"December 6, 1973–August 9, 1974",,Gerald Ford,,Republican,1972,Richard Nixon
List of vice presidents of the United States,41,Gerald Ford,"December 19, 1974–January 20, 1977",,Nelson Rockefeller,,Republican,1972
