Property,Label
17,country
25,mother
27,country of citizenship
39,position held
54,member of sports team
81,connecting line
102,member of political party
115,home venue
121,item operated
131,located in the administrative territorial entity
137,operator
155,follows
156,followed by
166,award received
175,performer
176,manufacturer
210,party chief representative
276,location
286,head coach
361,part of
400,platform
413,position played on team / speciality
453,character role
518,applies to part
527,has part
642,of
748,appointed by
768,electoral district
822,mascot
1192,connecting service
1268,represents
1327,partner in business or sport
1346,winner
1365,replaces
1366,replaced by
1416,affiliation
1441,present in work
1532,country for sport
1686,for work
1706,together with
1876,vehicle
2210,relative to
2453,nominee
2715,elected in
3438,vehicle normally used
3831,object has role
4878,symbolizes
5051,towards
5054,cabinet
5317,jockey
6149,running mate
